record_id,student_id,group_id,session_type,session_datetime,status,source_month,attended_flag
AT000044,S0433,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000045,S0444,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000046,S0454,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000047,S0471,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000048,S0474,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000049,S0479,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000050,S0482,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000051,S0493,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000052,S0499,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000053,S0005,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000054,S0009,G01,session,2025-12-11 16:00:00,absent,2025-12,False
AT000055,S0014,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000056,S0016,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000057,S0021,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000058,S0032,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000059,S0040,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000060,S0046,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000061,S0053,G01,session,2025-12-11 16:00:00,absent,2025-12,False
AT000062,S0057,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000063,S0094,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000064,S0095,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000065,S0125,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000066,S0128,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000067,S0131,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000068,S0134,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000069,S0138,G01,session,2025-12-11 16:00:00,absent,2025-12,False
AT000070,S0143,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000071,S0145,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000072,S0146,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000073,S0173,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000074,S0174,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000075,S0192,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000076,S0196,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000077,S0238,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000078,S0239,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000079,S0245,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000080,S0262,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000081,S0265,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000082,S0278,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000083,S0310,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000084,S0313,G01,session,2025-12-11 16:00:00,absent,2025-12,False
AT000085,S0324,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000086,S0329,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000087,S0380,G01,session,2025-12-11 16:00:00,absent,2025-12,False
AT000088,S0383,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000089,S0384,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000090,S0395,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000091,S0402,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000092,S0407,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000093,S0410,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000094,S0420,G01,session,2025-12-11 16:00:00,absent,2025-12,False
AT000095,S0425,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000096,S0433,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000097,S0444,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000098,S0454,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000099,S0471,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000100,S0474,G01,session,2025-12-11 16:00:00,absent,2025-12,False
AT000101,S0479,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000102,S0482,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000103,S0493,G01,session,2025-12-11 16:00:00,absent,2025-12,False
AT000104,S0499,G01,session,2025-12-11 16:00:00,attended,2025-12,True
AT000105,S0005,G01,session,2025-12-18 16:00:00,absent,2025-12,False
AT000106,S0009,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000107,S0014,G01,session,2025-12-18 16:00:00,absent,2025-12,False
AT000108,S0016,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000109,S0021,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000110,S0032,G01,session,2025-12-18 16:00:00,absent,2025-12,False
AT000111,S0040,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000112,S0046,G01,session,2025-12-18 16:00:00,absent,2025-12,False
AT000113,S0053,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000114,S0057,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000115,S0094,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000116,S0095,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000117,S0125,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000118,S0128,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000119,S0131,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000120,S0134,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000121,S0138,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000122,S0143,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000123,S0145,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000124,S0146,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000125,S0173,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000126,S0174,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000127,S0192,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000128,S0196,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000129,S0238,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000130,S0239,G01,session,2025-12-18 16:00:00,absent,2025-12,False
AT000131,S0245,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000132,S0262,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000133,S0265,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000134,S0278,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000135,S0310,G01,session,2025-12-18 16:00:00,absent,2025-12,False
AT000136,S0313,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000137,S0324,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000138,S0329,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000139,S0380,G01,session,2025-12-18 16:00:00,absent,2025-12,False
AT000140,S0383,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000141,S0384,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000142,S0395,G01,session,2025-12-18 16:00:00,absent,2025-12,False
AT000143,S0402,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000144,S0407,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000145,S0410,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000146,S0420,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000147,S0425,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000148,S0433,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000149,S0444,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000150,S0454,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000151,S0471,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000152,S0474,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000153,S0479,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000154,S0482,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000155,S0493,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000156,S0499,G01,session,2025-12-18 16:00:00,attended,2025-12,True
AT000157,S0005,G01,quiz,2025-12-25 16:00:00,absent,2025-12,False
AT000158,S0009,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000159,S0014,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000160,S0016,G01,quiz,2025-12-25 16:00:00,absent,2025-12,False
AT000161,S0021,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000162,S0032,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000163,S0040,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000164,S0046,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000165,S0053,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000166,S0057,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000167,S0094,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000168,S0095,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000169,S0125,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000170,S0128,G01,quiz,2025-12-25 16:00:00,absent,2025-12,False
AT000171,S0131,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000172,S0134,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000173,S0138,G01,quiz,2025-12-25 16:00:00,absent,2025-12,False
AT000174,S0143,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000175,S0145,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000176,S0146,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000177,S0173,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000178,S0174,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000179,S0192,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000180,S0196,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000181,S0238,G01,quiz,2025-12-25 16:00:00,absent,2025-12,False
AT000182,S0239,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000183,S0245,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000184,S0262,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000185,S0265,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000186,S0278,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000187,S0310,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000188,S0313,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000189,S0324,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000190,S0329,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000191,S0380,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000192,S0383,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000193,S0384,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000194,S0395,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000195,S0402,G01,quiz,2025-12-25 16:00:00,absent,2025-12,False
AT000196,S0407,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000197,S0410,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000198,S0420,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000199,S0425,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000200,S0433,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000201,S0444,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000202,S0454,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000203,S0471,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000204,S0474,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000205,S0479,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000206,S0482,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000207,S0493,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT000208,S0499,G01,quiz,2025-12-25 16:00:00,attended,2025-12,True
AT001353,S0004,G02,session,2025-12-04 18:00:00,absent,2025-12,False
AT001354,S0015,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001355,S0017,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001356,S0022,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001357,S0043,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001358,S0055,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001359,S0064,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001360,S0075,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001361,S0097,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001362,S0098,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001363,S0100,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001364,S0102,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001365,S0104,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001366,S0124,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001367,S0126,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001368,S0130,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001369,S0133,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001370,S0135,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001371,S0149,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001372,S0163,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001373,S0176,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001374,S0180,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001375,S0182,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001376,S0183,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001377,S0185,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001378,S0186,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001379,S0188,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001380,S0198,G02,session,2025-12-04 18:00:00,absent,2025-12,False
AT001381,S0199,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001382,S0202,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001383,S0208,G02,session,2025-12-04 18:00:00,absent,2025-12,False
AT001384,S0218,G02,session,2025-12-04 18:00:00,absent,2025-12,False
AT001385,S0221,G02,session,2025-12-04 18:00:00,absent,2025-12,False
AT001386,S0227,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001387,S0247,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001388,S0252,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001389,S0260,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001390,S0261,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001391,S0264,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001392,S0277,G02,session,2025-12-04 18:00:00,absent,2025-12,False
AT001393,S0281,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001394,S0285,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001395,S0296,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001396,S0317,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001397,S0336,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001398,S0347,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001399,S0352,G02,session,2025-12-04 18:00:00,absent,2025-12,False
AT001400,S0355,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001401,S0368,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001402,S0369,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001403,S0378,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001404,S0418,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001405,S0424,G02,session,2025-12-04 18:00:00,absent,2025-12,False
AT001406,S0457,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001407,S0480,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001408,S0497,G02,session,2025-12-04 18:00:00,attended,2025-12,True
AT001409,S0004,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001410,S0015,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001411,S0017,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001412,S0022,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001413,S0043,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001414,S0055,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001415,S0064,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001416,S0075,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001417,S0097,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001418,S0098,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001419,S0100,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001420,S0102,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001421,S0104,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001422,S0124,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001423,S0126,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001424,S0130,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001425,S0133,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001426,S0135,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001427,S0149,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001428,S0163,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001429,S0176,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001430,S0180,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001431,S0182,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001432,S0183,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001433,S0185,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001434,S0186,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001435,S0188,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001436,S0198,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001437,S0199,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001438,S0202,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001439,S0208,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001440,S0218,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001441,S0221,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001442,S0227,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001443,S0247,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001444,S0252,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001445,S0260,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001446,S0261,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001447,S0264,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001448,S0277,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001449,S0281,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001450,S0285,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001451,S0296,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001452,S0317,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001453,S0336,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001454,S0347,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001455,S0352,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001456,S0355,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001457,S0368,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001458,S0369,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001459,S0378,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001460,S0418,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001461,S0424,G02,session,2025-12-11 18:00:00,absent,2025-12,False
AT001462,S0457,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001463,S0480,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001464,S0497,G02,session,2025-12-11 18:00:00,attended,2025-12,True
AT001465,S0004,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001466,S0015,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001467,S0017,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001468,S0022,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001469,S0043,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001470,S0055,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001471,S0064,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001472,S0075,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001473,S0097,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001474,S0098,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001475,S0100,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001476,S0102,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001477,S0104,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001478,S0124,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001479,S0126,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001480,S0130,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001481,S0133,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001482,S0135,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001483,S0149,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001484,S0163,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001485,S0176,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001486,S0180,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001487,S0182,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001488,S0183,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001489,S0185,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001490,S0186,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001491,S0188,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001492,S0198,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001493,S0199,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001494,S0202,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001495,S0208,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001496,S0218,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001497,S0221,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001498,S0227,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001499,S0247,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001500,S0252,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001501,S0260,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001502,S0261,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001503,S0264,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001504,S0277,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001505,S0281,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001506,S0285,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001507,S0296,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001508,S0317,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001509,S0336,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001510,S0347,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001511,S0352,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001512,S0355,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001513,S0368,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001514,S0369,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001515,S0378,G02,session,2025-12-18 18:00:00,absent,2025-12,False
AT001516,S0418,G02,session,2025-12-18 18:00:00,attended,2025-12,True
AT001517,S0424,G02,session,2025-12-18 18:00:00,attended,2025-12,True
